target uniprot id,target uniprot gene,interactor uniprot id,interactor uniprot gene,mentha score,PDB id,fusion,target chain id,target starting residue,target ending residue,interactor chain id,interactor starting residue,interactor ending residue,other interactors,method,resolution,dna chains,num ligands,PMID,pDockQ HuMap,pDockQ HuRI
P25054,APC,P49674,CSNK1E,0.546,na,na,na,na,na,na,na,na,na,na,na,na,na,11425858 25241761 29045831 17218255 ,na,na
P25054,APC,O43683,BUB1,0.523,na,na,na,na,na,na,na,na,na,na,na,na,na,11283619 25241761 ,na,na
P25054,APC,Q14114,LRP8,0.523,na,na,na,na,na,na,na,na,na,na,na,na,na,19116273 ,na,na
P25054,APC,Q92796,DLG3,0.523,na,na,na,na,na,na,na,na,na,na,na,na,na,9188857 ,na,na
P25054,APC,O14980,XPO1,0.454,na,na,na,na,na,na,na,na,na,na,na,na,na,12070164 ,na,na
P25054,APC,P19474,TRIM21,0.436,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 20936779 ,na,na
P25054,APC,Q96RT1,ERBB2IP,0.416,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 15123239 ,na,na
P25054,APC,P68366,TUBA4A,0.396,na,na,na,na,na,na,na,na,na,na,na,na,na,11166179 ,na,na
P25054,APC,Q5JTC6,AMER1,0.396,na,na,na,na,na,na,na,na,na,na,na,na,na,24251807 26496610 ,na,na
P25054,APC,O43815,STRN,0.376,na,na,na,na,na,na,na,na,na,na,na,na,na,18502210 ,na,na
P25054,APC,O95071,UBR5,0.376,na,na,na,na,na,na,na,na,na,na,na,na,na,18076571 ,na,na
P25054,APC,Q13033,STRN3,0.365,na,na,na,na,na,na,na,na,na,na,na,na,na,24255178 18502210 ,na,na
P25054,APC,Q9UKB1,FBXW11,0.332,na,na,na,na,na,na,na,na,na,na,na,na,na,25900982 25515538 28514442 ,na,na
P25054,APC,O14641,DVL2,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,20224554 26496610 ,na,na
P25054,APC,O43464,HTRA2,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,16007220 ,na,na
P25054,APC,O60566,BUB1B,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,11283619 ,na,na
P25054,APC,P54792,DVL1P1,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,20224554 ,na,na
P25054,APC,Q12923,PTPN13,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,17240990 ,na,na
P25054,APC,Q9NSA3,CTNNBIP1,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,15327768 28514442 ,na,na
P25054,APC,Q9UGI0,ZRANB1,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,18281465 ,na,na
P25054,APC,Q9ULH1,ASAP1,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,20509626 ,na,na
P25054,APC,Q9UNN8,PROCR,0.309,na,na,na,na,na,na,na,na,na,na,na,na,na,19116273 ,na,na
P25054,APC,O14513,NCKAP5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O14964,HGS,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O15020,SPTBN2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O15234,CASC3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,O15504,NUPL2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O60318,MCM3AP,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O75179,ANKRD17,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O94910,LPHN1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O94979,SEC31A,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O95661,DIRAS3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,P02533,KRT14,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P04155,TFF1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,P05093,CYP17A1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,P08727,KRT19,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P09630,HOXC6,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,P0C0L4,C4A,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P11021,HSPA5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P11245,NAT2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,P12270,TPR,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P12814,ACTN1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P13501,CCL5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,P13646,KRT13,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P13647,KRT5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P19012,KRT15,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P20073,ANXA7,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P20929,NEB,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P21333,FLNA,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P21675,TAF1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P33176,KIF5B,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P35580,MYH10,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P35658,NUP214,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P35749,MYH11,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P42677,RPS27,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P49790,NUP153,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P52594,AGFG1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P52948,NUP98,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,P63010,AP2B1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q01082,SPTBN1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q03001,DST,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q04695,KRT17,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q08379,GOLGA2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q0VF96,CGNL1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q13007,IL24,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,Q14258,TRIM25,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,Q15047,SETDB1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q16363,LAMA4,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q16787,LAMA3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q32MH5,FAM214A,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q69YQ0,SPECC1L,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q6Y7W6,GIGYF2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q7Z3B4,NUP54,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q86T90,KIAA1328,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8IVI9,NOSTRIN,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8IVL0,NAV3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8IVL1,NAV2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8NEV8,EXPH5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8NEY1,NAV1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8NF91,SYNE1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8TB52,FBXO30,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8TD06,AGR3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,Q8TF01,PNISR,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q8WYH8,ING5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q92793,CREBBP,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q96HA1,POM121,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q96JY6,PDLIM2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,Q96KQ4,PPP1R13B,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q96S59,RANBP9,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q99418,CYTH2,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q99460,PSMD1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q99814,EPAS1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9BQ04,RBM4B,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9BVL2,NUPL1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9C075,KRT23,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9H2Y7,ZNF106,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9H9E3,COG4,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9HCH0,NCKAP5L,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9P267,MBD5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9UBP4,DKK3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,Q9UM54,MYO6,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9UP83,COG5,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9UPN3,MACF1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9UQE7,SMC3,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,Q9Y5Y6,ST14,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,25640309 ,na,na
P25054,APC,Q9Y613,FHOD1,0.286,na,na,na,na,na,na,na,na,na,na,na,na,na,20936779 ,na,na
P25054,APC,O43251,RBFOX2,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,O95243,MBD4,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,O95785,WIZ,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,P31947,SFN,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,15778465 ,na,na
P25054,APC,Q12802,AKAP13,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q5T0W9,FAM83B,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q5T5U3,ARHGAP21,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q68CZ1,RPGRIP1L,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26638075 ,na,na
P25054,APC,Q6ZU80,CEP128,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26638075 ,na,na
P25054,APC,Q96CW1,AP2M1,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26186194 28514442 ,na,na
P25054,APC,Q99959,PKP2,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q9H0U6,MRPL18,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q9H4B6,SAV1,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q9NUP9,LIN7C,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26186194 28514442 ,na,na
P25054,APC,Q9P0U3,SENP1,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,Q9Y4R8,TELO2,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,26496610 ,na,na
P25054,APC,O14490,DLGAP1,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,9286858 ,na,na
P25054,APC,O43684,BUB3,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,11283619 ,na,na
P25054,APC,O95271,TNKS,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,23277359 ,na,na
P25054,APC,P12004,PCNA,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,21664290 ,na,na
P25054,APC,P15927,RPA2,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,21664290 ,na,na
P25054,APC,P15941,MUC1,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,15020226 ,na,na
P25054,APC,P48730,CSNK1D,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 ,na,na
P25054,APC,P49023,PXN,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,20224554 ,na,na
P25054,APC,P63000,RAC1,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,21311754 ,na,na
P25054,APC,P67870,CSNK2B,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,11972058 ,na,na
P25054,APC,Q13049,TRIM32,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 ,na,na
P25054,APC,Q13077,TRAF1,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,25996949 ,na,na
P25054,APC,Q13257,MAD2L1,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,9637688 ,na,na
P25054,APC,Q70CQ3,USP30,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 ,na,na
P25054,APC,Q8N7J2,AMER2,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,24251807 ,na,na
P25054,APC,Q92905,COPS5,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,19576224 ,na,na
P25054,APC,Q93009,USP7,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 ,na,na
P25054,APC,Q96JP5,ZFP91,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 ,na,na
P25054,APC,Q9NRL3,STRN4,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,18502210 ,na,na
P25054,APC,Q9NTX7,RNF146,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,23277359 ,na,na
P25054,APC,Q9ULT8,HECTD1,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,23277359 ,na,na
P25054,APC,Q9Y2T1,AXIN2,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,10966653 ,na,na
P25054,APC,Q9Y508,RNF114,0.21,na,na,na,na,na,na,na,na,na,na,na,na,na,29045831 ,na,na
