target uniprot id,target uniprot gene,interactor uniprot id,interactor uniprot gene,mentha score,PDB id,fusion,target chain id,target starting residue,target ending residue,interactor chain id,interactor starting residue,interactor ending residue,other interactors,method,resolution,dna chains,num ligands,PMID,pDockQ HuMap,pDockQ HuRI
P25054,APC,P35222,CTNNB1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,15327769 15525529 16212417 9286858 11972058 11533658 10545404 11712088 25241761 23840886 11251183 19576224 15355978 22682247 29045831 26496610 15327768 8259519 11707392 27902311 17318191 12628243 21664290 16510874 ,na,na
P25054,APC,O15169,AXIN1,0.977,na,na,na,na,na,na,na,na,na,na,na,na,na,10228155 9734785 20128690 23277359 19131971 22682247 29045831 26496610 16199882 ,na,na
P25054,APC,Q15691,MAPRE1,0.914,na,na,na,na,na,na,na,na,na,na,na,na,na,12388762 19632184 23001180 11943150 26496610 ,na,na
P25054,APC,Q96N96,SPATA13,0.902,na,na,na,na,na,na,na,na,na,na,na,na,na,17145773 17599059 ,na,na
P25054,APC,Q13363,CTBP1,0.801,na,na,na,na,na,na,na,na,na,na,na,na,na,16510875 15525529 26186194 26496610 28514442 ,na,na
P25054,APC,P35221,CTNNA1,0.784,na,na,na,na,na,na,na,na,na,na,na,na,na,8259519 25241761 29045831 26496610 7651399 20936779 ,na,na
P25054,APC,Q8N944,AMER3,0.765,na,na,na,na,na,na,na,na,na,na,na,na,na,24251807 ,na,na
P25054,APC,Q9NR80,ARHGEF4,0.765,na,na,na,na,na,na,na,na,na,na,na,na,na,17145773 10947987 ,na,na
P25054,APC,P14923,JUP,0.761,na,na,na,na,na,na,na,na,na,na,na,na,na,8074697 25241761 26496610 7651399 20936779 ,na,na
P25054,APC,Q9Y297,BTRC,0.748,na,na,na,na,na,na,na,na,na,na,na,na,na,10228155 19615732 29045831 10074433 28514442 25900982 ,na,na
P25054,APC,P60953,CDC42,0.74,na,na,na,na,na,na,na,na,na,na,na,na,na,17145773 21311754 ,na,na
P25054,APC,Q15555,MAPRE2,0.74,na,na,na,na,na,na,na,na,na,na,na,na,na,7606712 11470413 ,na,na
P25054,APC,Q14160,SCRIB,0.702,na,na,na,na,na,na,na,na,na,na,na,na,na,16611247 ,na,na
P25054,APC,P25054,APC,0.659,na,na,na,na,na,na,na,na,na,na,na,na,na,12070164 8389242 ,na,na
P25054,APC,Q92845,KIFAP3,0.623,na,na,na,na,na,na,na,na,na,na,na,na,na,11912492 ,na,na
P25054,APC,O14640,DVL1,0.61,na,na,na,na,na,na,na,na,na,na,na,na,na,20224554 11425858 ,na,na
P25054,APC,P49841,GSK3B,0.583,na,na,na,na,na,na,na,na,na,na,na,na,na,23602568 29568061 29045831 11251183 ,na,na
P25054,APC,P05549,TFAP2A,0.569,na,na,na,na,na,na,na,na,na,na,na,na,na,15331612 ,na,na
P25054,APC,P68400,CSNK2A1,0.561,na,na,na,na,na,na,na,na,na,na,na,na,na,25241761 11972058 ,na,na
P25054,APC,Q8IUQ4,SIAH1,0.561,na,na,na,na,na,na,na,na,na,na,na,na,na,11389840 25241761 ,na,na
P25054,APC,P49792,RANBP2,0.554,na,na,na,na,na,na,na,na,na,na,na,na,na,19654215 20936779 29045831 ,na,na
