Target_Uniprot_AC,Target_protein,Interactor_UniProt_AC,Interactor,Mentha_score,String_score,PPI_Structure,PDBminer_complexes_structure,PDBminer_structure
O43186,CRX,O75603,GCM2,0.722,0.258,,,
O43186,CRX,O43741,PRKAB2,0.659,0.22,,,
O43186,CRX,P35219,CA8,0.636,0.384,AF_Huri_HuMAP,,
O43186,CRX,O15265,ATXN7,0.623,0.669,,,
O43186,CRX,P35711,SOX5,0.583,0.236,,,
O43186,CRX,Q08117,AES,0.583,,,,
O43186,CRX,Q2TAL8,QRICH1,0.583,,,,
O43186,CRX,O75531,BANF1,0.523,0.597,,,
O43186,CRX,Q17RB8,LONRF1,0.523,,AF_Huri_HuMAP,,
O43186,CRX,O14964,HGS,0.49,,,,
O43186,CRX,Q8N9N5,BANP,0.49,,,,
O43186,CRX,Q8TC57,M1AP,0.454,0.42,AF_Huri_HuMAP,,
O43186,CRX,Q71RC2,LARP4,0.454,0.237,,,
O43186,CRX,Q14154,KIAA0141,0.454,0.209,AF_Huri_HuMAP,,
O43186,CRX,O94817,ATG12,0.454,0.209,,,
O43186,CRX,Q96T49,PPP1R16B,0.454,0.207,AF_Huri_HuMAP,,
O43186,CRX,P24863,CCNC,0.454,0.197,AF_Huri_HuMAP,,
O43186,CRX,Q9NYB9,ABI2,0.454,0.165,AF_Huri_HuMAP,,
O43186,CRX,Q14CS0,UBXN2B,0.454,0.161,,,
O43186,CRX,Q96LT7,C9ORF72,0.454,0.161,,,
O43186,CRX,Q96NT3,GUCD1,0.454,0.161,,,
O43186,CRX,Q9UJX0,OSGIN1,0.454,,AF_Huri_HuMAP,,
O43186,CRX,P40306,PSMB10,0.454,,,,
O43186,CRX,P63241,EIF5A,0.454,,,,
O43186,CRX,Q5T011,SZT2,0.454,,,,
O43186,CRX,Q9NX04,C1ORF109,0.454,,AF_Huri_HuMAP,,
O43186,CRX,Q7Z2X4,PID1,0.454,,,,
O43186,CRX,Q9Y221,NIP7,0.454,,AF_Huri_HuMAP,,
O43186,CRX,O75716,STK16,0.454,,AF_Huri_HuMAP,,
O43186,CRX,Q02446,SP4,0.376,0.547,,,
O43186,CRX,Q01974,ROR2,0.376,0.225,AF_Huri_HuMAP,,
O43186,CRX,Q5THT1,KLHL32,0.332,,,,
O43186,CRX,K7EM05,K7EM05,0.332,,,,
O43186,CRX,B4DE54,BANP,0.332,,,,
O43186,CRX,P84022,SMAD3,0.332,,,,
O43186,CRX,Q53HV7,SMUG1,0.332,,,,
O43186,CRX,A0A0S2Z5G4,BANP,0.332,,,,
O43186,CRX,A1L4F5,ROR2,0.332,,,,
O43186,CRX,Q6P2C6,MLLT6,0.332,,,,
O43186,CRX,A0A0S2Z6P0,ZNF688,0.332,,,,
O43186,CRX,Q92830,KAT2A,0.309,0.51,,,
O43186,CRX,O94829,IPO13,0.309,0.465,,,
O43186,CRX,Q09472,EP300,0.309,0.25,,,
O43186,CRX,Q99750,MDFI,0.286,,,,
O43186,CRX,Q92530,PSMF1,0.236,0.204,,,
O43186,CRX,Q8IYB5,SMAP1,0.236,0.197,,,
O43186,CRX,O95416,SOX14,0.236,0.197,,,
O43186,CRX,P41225,SOX3,0.236,0.197,,,
O43186,CRX,Q13492,PICALM,0.236,0.194,,,
O43186,CRX,Q93062,RBPMS,0.236,0.183,,,
O43186,CRX,Q92734,TFG,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q8WU79,SMAP2,0.236,,,,
O43186,CRX,Q969S2,NEIL2,0.236,,AF_Huri_HuMAP,,
O43186,CRX,O00560,SDCBP,0.236,,,,
O43186,CRX,Q8TBB1,LNX1,0.236,,,,
O43186,CRX,Q96K80,ZC3H10,0.236,,,,
O43186,CRX,O43247,TEX33,0.236,,,,
O43186,CRX,P0CW19,LIMS3,0.236,,,,
O43186,CRX,H0YDU7,ATM,0.236,,,,
O43186,CRX,Q8IYS8,BOD1L2,0.236,,,,
O43186,CRX,Q9UMX1,SUFU,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q9UI47,CTNNA3,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q9UFG5,C19ORF25,0.236,,,,
O43186,CRX,Q9UDX3,SEC14L4,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q9UBE0,SAE1,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q9NZD8,SPG21,0.236,,,,
O43186,CRX,A5D8V6,VPS37C,0.236,,,,
O43186,CRX,Q9NRN7,AASDHPPT,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q9NQB0,TCF7L2,0.236,,,,
O43186,CRX,Q9NP98,MYOZ1,0.236,,,,
O43186,CRX,Q9H503,BANF2,0.236,,,,
O43186,CRX,Q9BZE0,GLIS2,0.236,,,,
O43186,CRX,Q9BV19,C1ORF50,0.236,,,,
O43186,CRX,Q9BUN1,MENT,0.236,,,,
O43186,CRX,Q9BQY4,RHOXF2,0.236,,,,
O43186,CRX,Q8N8Y2,ATP6V0D2,0.236,,AF_Huri_HuMAP,,
O43186,CRX,O75593,FOXH1,0.236,,,,
O43186,CRX,Q8IYR0,C6ORF165,0.236,,AF_Huri_HuMAP,,
O43186,CRX,P13807,GYS1,0.236,,AF_Huri_HuMAP,,
O43186,CRX,P17931,LGALS3,0.236,,,,
O43186,CRX,P0CG20,PRR35,0.236,,,,
O43186,CRX,P25786,PSMA1,0.236,,AF_Huri_HuMAP,,
O43186,CRX,P34130,NTF4,0.236,,,,
O43186,CRX,P35680,HNF1B,0.236,,,,
O43186,CRX,O95947,TBX6,0.236,,,,
O43186,CRX,P42773,CDKN2C,0.236,,,,
O43186,CRX,P51687,SUOX,0.236,,AF_Huri_HuMAP,,
O43186,CRX,P54253,ATXN1,0.236,,,,
O43186,CRX,P56693,SOX10,0.236,,,,
O43186,CRX,O95376,ARIH2,0.236,,AF_Huri_HuMAP,,
O43186,CRX,P78412,IRX6,0.236,,,,
O43186,CRX,Q63ZY3,KANK2,0.236,,,,
O43186,CRX,O95007,OR6B1,0.236,,,,
O43186,CRX,Q86VF2,IGFN1,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q7Z3K3,POGZ,0.236,,,,
O43186,CRX,O43711,TLX3,0.236,,AF_Huri_HuMAP,,
O43186,CRX,P0CW24,PNMA6A,0.236,,,,
O43186,CRX,Q6P088,Q6P088,0.236,,,,
O43186,CRX,Q6NZ36,FAAP20,0.236,,,,
O43186,CRX,A0A024R8L2,A0A024R8L2,0.236,,,,
O43186,CRX,Q63HR2,TENC1,0.236,,AF_Huri_HuMAP,,
O43186,CRX,Q15915,ZIC1,0.236,,,,
O43186,CRX,O94888,UBXN7,0.236,,,,
O43186,CRX,Q13952,NFYC,0.236,,,,
O43186,CRX,P08047,SP1,0.21,0.292,,,
O43186,CRX,P41743,PRKCI,0.21,0.292,,,
O43186,CRX,Q02447,SP3,0.21,0.292,,,
O43186,CRX,Q96NJ5,KLHL32,,,AF_Huri_HuMAP,,
O43186,CRX,P54845,NRL,,0.714,,,
O43186,CRX,Q9Y5X4,NR2E3,,0.422,,,
O43186,CRX,O60260,PRKN,,0.369,,,
O43186,CRX,Q96IS3,RAX2,,0.292,,,
O43186,CRX,Q13315,ATM,,0.213,,,
O43186,CRX,Q99743,NPAS2,,0.193,,,
O43186,CRX,Q9NWB1,RBFOX1,,0.163,,,
