Target_protein,Target_Uniprot_AC,StringID_Target,Interactor,Interactor_UniProt_AC,StringID_Interactor,String_score,Experimental_score,Database_score,Textmining_score,PDB_ID,Experiment_Type,Resolution
SUMO3,P55854,9606.ENSP00000409666,UBE2I,P63279,9606.ENSP00000348056,0.982,0.765,0.9,0.298,,,
SUMO3,P55854,9606.ENSP00000409666,UBA2,Q9UBT2,9606.ENSP00000246548,0.956,0.503,0.9,0.188,,,
SUMO3,P55854,9606.ENSP00000409666,SUMO2,P61956,9606.ENSP00000405965,0.899,0.61,0.5,0.526,,,
SUMO3,P55854,9606.ENSP00000409666,SAE1,Q9UBE0,9606.ENSP00000270225,0.868,0.648,0.5,0.311,,,
SUMO3,P55854,9606.ENSP00000409666,PIAS1,O75925,9606.ENSP00000438574,0.775,0.443,0.0,0.614,,,
SUMO3,P55854,9606.ENSP00000409666,SENP2,Q9HC62,9606.ENSP00000296257,0.743,0.743,0.0,0.0,2IO1,X-RAY DIFFRACTION,2.6
SUMO3,P55854,9606.ENSP00000409666,RPS27A,P62979,9606.ENSP00000272317,0.698,0.422,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBC,P0CG48,9606.ENSP00000441543,0.654,0.292,0.5,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,SENP1,Q9P0U3,9606.ENSP00000394791,0.635,0.635,0.0,0.0,6NNQ,X-RAY DIFFRACTION,2.621
SUMO3,P55854,9606.ENSP00000409666,DDB2,Q92466,9606.ENSP00000256996,0.63,0.292,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RAD23A,P54725,9606.ENSP00000467024,0.612,0.22,0.5,0.086,,,
SUMO3,P55854,9606.ENSP00000409666,RAD23B,P54727,9606.ENSP00000350708,0.604,0.178,0.5,0.115,,,
SUMO3,P55854,9606.ENSP00000409666,RNF4,P78317,9606.ENSP00000426503,0.552,0.537,0.0,0.073,,,
SUMO3,P55854,9606.ENSP00000409666,USPL1,Q5W0Q7,9606.ENSP00000255304,0.544,0.518,0.0,0.093,7ZJU,X-RAY DIFFRACTION,2.17
SUMO3,P55854,9606.ENSP00000409666,UBB,P0CG47,9606.ENSP00000478771,0.531,0.0,0.5,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,PIAS4,Q8N2W9,9606.ENSP00000262971,0.525,0.246,0.0,0.397,,,
SUMO3,P55854,9606.ENSP00000409666,SP100,P23497,9606.ENSP00000343023,0.512,0.457,0.0,0.139,,,
SUMO3,P55854,9606.ENSP00000409666,PARP1,P09874,9606.ENSP00000355759,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ERCC2,P18074,9606.ENSP00000375809,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ERCC3,P19447,9606.ENSP00000285398,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,XPA,P23025,9606.ENSP00000364270,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,GTF2H1,P32780,9606.ENSP00000265963,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CETN2,P41208,9606.ENSP00000359300,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RBX1,P62877,9606.ENSP00000216225,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBA52,P62987,9606.ENSP00000388107,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SUMO1,P63165,9606.ENSP00000376077,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,XPC,Q01831,9606.ENSP00000285021,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CUL4A,Q13619,9606.ENSP00000364589,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CUL4B,Q13620,9606.ENSP00000384109,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,GTF2H2,Q13888,9606.ENSP00000274400,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,GTF2H3,Q13889,9606.ENSP00000445162,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,DDB1,Q16531,9606.ENSP00000301764,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,GTF2H5,Q6ZYL4,9606.ENSP00000476100,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CHD1L,Q86WJ1,9606.ENSP00000358262,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,GTF2H4,Q92759,9606.ENSP00000259895,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,PARP2,Q9UGN5,9606.ENSP00000250416,0.499,0.0,0.5,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,KCTD2,Q14681,9606.ENSP00000312814,0.493,0.362,0.0,0.239,,,
SUMO3,P55854,9606.ENSP00000409666,PML,P29590,9606.ENSP00000268058,0.457,0.457,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RANGAP1,P46060,9606.ENSP00000401470,0.456,0.359,0.0,0.185,,,
SUMO3,P55854,9606.ENSP00000409666,PIAS2,O75928,9606.ENSP00000465676,0.451,0.443,0.0,0.055,,,
SUMO3,P55854,9606.ENSP00000409666,TDP2,O95551,9606.ENSP00000367440,0.451,0.445,0.0,0.052,,,
SUMO3,P55854,9606.ENSP00000409666,PIAS3,Q9Y6X2,9606.ENSP00000376765,0.443,0.443,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,MAPRE1,Q15691,9606.ENSP00000364721,0.424,0.424,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,FBH1,Q8NFZ0,9606.ENSP00000369335,0.418,0.299,0.0,0.205,,,
SUMO3,P55854,9606.ENSP00000409666,SENP5,Q96HI0,9606.ENSP00000327197,0.399,0.399,0.0,0.0,9GNN,X-RAY DIFFRACTION,2.36
SUMO3,P55854,9606.ENSP00000409666,UFD1,Q92890,9606.ENSP00000263202,0.391,0.251,0.0,0.221,,,
SUMO3,P55854,9606.ENSP00000409666,DAXX,Q9UER7,9606.ENSP00000266000,0.385,0.292,0.0,0.167,,,
SUMO3,P55854,9606.ENSP00000409666,PCNA,P12004,9606.ENSP00000368458,0.375,0.375,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2K,P61086,9606.ENSP00000261427,0.362,0.319,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,ATXN2,Q99700,9606.ENSP00000446576,0.359,0.359,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SENP7,Q9BQF6,9606.ENSP00000377655,0.358,0.357,0.0,0.043,7R2E,X-RAY DIFFRACTION,1.74
SUMO3,P55854,9606.ENSP00000409666,ZNF451,Q9Y4E5,9606.ENSP00000359740,0.335,0.335,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,AQP12B,A6NM10,9606.ENSP00000384894,0.303,0.302,0.0,0.043,,,
SUMO3,P55854,9606.ENSP00000409666,AQP12A,Q8IXF9,9606.ENSP00000405899,0.303,0.302,0.0,0.043,,,
SUMO3,P55854,9606.ENSP00000409666,SENP6,Q9GZR1,9606.ENSP00000402527,0.303,0.302,0.0,0.043,,,
SUMO3,P55854,9606.ENSP00000409666,RANBP1,P43487,9606.ENSP00000401564,0.296,0.191,0.0,0.166,,,
SUMO3,P55854,9606.ENSP00000409666,CBX4,O00257,9606.ENSP00000269397,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,MEIS1,O00470,9606.ENSP00000272369,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SART1,O43290,9606.ENSP00000310448,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,BRD4,O60885,9606.ENSP00000263377,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RNF8,O76064,9606.ENSP00000362578,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ALPP,P05187,9606.ENSP00000375881,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,NPM1,P06748,9606.ENSP00000296930,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ESRRA,P11474,9606.ENSP00000384851,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,KCNA5,P22460,9606.ENSP00000252321,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,STOM,P27105,9606.ENSP00000286713,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,LRPAP1,P30533,9606.ENSP00000497444,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,HELZ,P42694,9606.ENSP00000464512,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,YAP1,P46937,9606.ENSP00000478927,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,NR2C2,P49116,9606.ENSP00000483059,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CLK3,P49761,9606.ENSP00000378505,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2M,P61081,9606.ENSP00000253023,0.292,0.292,0.0,0.0,,,
